;code;codein;name;high;low;varBid;pctChange;bid;ask;timestamp;create_date
54;ETH;BRL;Ethereum;120;120;0;0;144;959.99;1585674851;2020-03-31 14:14:12
55;XRP;BRL;Ripple;0.9;0.88;0.01;1.53;0.89;0.9;1585678377;2020-03-31 15:12:57
56;USD;BRLT;Dólar Turismo;5.22;5.16;0.06;1.097;5.22;5.53;1585746840000;2020-04-01 10:18:00
57;CAD;BRL;Dólar Canadense;3.702;3.6473;-0.0158;-0.43;3.6831;3.6866;1585747158;2020-04-01 10:19:21
58;EUR;BRL;Euro;5.7465;5.6832;-0.0141;-0.25;5.7241;5.728;1585747161;2020-04-01 10:19:23
59;GBP;BRL;Libra Esterlina;6.5018;6.4182;0.034;0.53;6.4942;6.5;1585747162;2020-04-01 10:19:24
60;ARS;BRL;Peso Argentino;0.0817;0.0809;0.0004;0.56;0.0812;0.0813;1585747161;2020-04-01 10:19:22
61;BTC;BRL;Bitcoin;33500;31509.1;-687.3;-2.06;32150;32699;1585747165;2020-04-01 10:19:25
62;LTC;BRL;Litecoin;201.96;197.5;-1.31;-0.66;197.51;198.21;1585747158;2020-04-01 10:19:19
63;JPY;BRL;Iene Japonês;0.04884;0.04825;0.0004;0.83;0.04877;0.04885;1585747164;2020-04-01 10:19:25
64;CHF;BRL;Franco Suíço;5.4366;5.3807;0.0054;0.1;5.4181;5.4221;1585747163;2020-04-01 10:19:24
65;AUD;BRL;Dólar Australiano;3.2062;3.15;-0.0159;-0.5;3.176;3.1782;1585747162;2020-04-01 10:19:24
66;CNY;BRL;Yuan Chinês;0.7395;0.7324;0.0066;0.9;0.7379;0.7382;1585747084;2020-04-01 10:18:05
67;ILS;BRL;Novo Shekel Israelense;1.473;1.4604;0.0035;0.24;1.4656;1.4661;1585747087;2020-04-01 10:18:07
68;ETH;BRL;Ethereum;144;120;24;20;144;959.99;1585747163;2020-04-01 10:19:23
69;XRP;BRL;Ripple;0.91;0.88;0;0.4;0.88;0.89;1585747129;2020-04-01 10:18:50
