;Region/Country/Area;Tourist/visitor arrivals and tourism expenditure;Year;Series;Tourism arrivals series type;Tourism arrivals series type footnote;Value;Footnotes;Source;valor_expenditure;number_visitor
268;668;Sint Eustatius;2005;Tourist/visitor arrivals (thousands);TF;;10;Excluding Netherlands Antillean residents.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;10
269;668;Sint Eustatius;2010;Tourist/visitor arrivals (thousands);TF;;11;Excluding Netherlands Antillean residents.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;11
270;667;Saba;1995;Tourist/visitor arrivals (thousands);TF;;10;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;10
271;667;Saba;2005;Tourist/visitor arrivals (thousands);TF;;12;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;12
272;667;Saba;2010;Tourist/visitor arrivals (thousands);TF;;12;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;12
273;70;Bosnia and Herzegovina;2005;Tourist/visitor arrivals (thousands);TCE;;217;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;217
274;70;Bosnia and Herzegovina;2010;Tourist/visitor arrivals (thousands);TCE;;365;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;365
275;70;Bosnia and Herzegovina;2015;Tourist/visitor arrivals (thousands);TCE;;678;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;678
276;70;Bosnia and Herzegovina;2016;Tourist/visitor arrivals (thousands);TCE;;778;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;778
277;70;Bosnia and Herzegovina;2017;Tourist/visitor arrivals (thousands);TCE;;923;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;923
278;70;Bosnia and Herzegovina;2005;Tourism expenditure (millions of US dollars);;;557;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;557;
279;70;Bosnia and Herzegovina;2010;Tourism expenditure (millions of US dollars);;;662;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;662;
280;70;Bosnia and Herzegovina;2015;Tourism expenditure (millions of US dollars);;;702;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;702;
281;70;Bosnia and Herzegovina;2016;Tourism expenditure (millions of US dollars);;;773;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;773;
282;70;Bosnia and Herzegovina;2017;Tourism expenditure (millions of US dollars);;;894;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;894;
283;72;Botswana;1995;Tourist/visitor arrivals (thousands);TF;;521;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;521
284;72;Botswana;2005;Tourist/visitor arrivals (thousands);TF;;1474;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1474
285;72;Botswana;2010;Tourist/visitor arrivals (thousands);TF;;1973;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1973
286;72;Botswana;2015;Tourist/visitor arrivals (thousands);TF;;1528;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1528
287;72;Botswana;2016;Tourist/visitor arrivals (thousands);TF;;1574;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1574
288;72;Botswana;1995;Tourism expenditure (millions of US dollars);;;176;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;176;
289;72;Botswana;2005;Tourism expenditure (millions of US dollars);;;563;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;563;
290;72;Botswana;2010;Tourism expenditure (millions of US dollars);;;512;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;512;
291;72;Botswana;2015;Tourism expenditure (millions of US dollars);;;631;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;631;
292;72;Botswana;2016;Tourism expenditure (millions of US dollars);;;580;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;580;
293;72;Botswana;2017;Tourism expenditure (millions of US dollars);;;705;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;705;
294;76;Brazil;1995;Tourist/visitor arrivals (thousands);TF;;1991;Including nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1991
295;76;Brazil;2005;Tourist/visitor arrivals (thousands);TF;;5358;Including nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;5358
296;76;Brazil;2010;Tourist/visitor arrivals (thousands);TF;;5161;Including nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;5161
297;76;Brazil;2015;Tourist/visitor arrivals (thousands);TF;;6306;Including nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;6306
298;76;Brazil;2016;Tourist/visitor arrivals (thousands);TF;;6547;Including nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;6547
299;76;Brazil;2017;Tourist/visitor arrivals (thousands);TF;;6589;Including nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;6589
300;76;Brazil;1995;Tourism expenditure (millions of US dollars);;;1085;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;1085;
301;76;Brazil;2005;Tourism expenditure (millions of US dollars);;;4168;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;4168;
302;76;Brazil;2010;Tourism expenditure (millions of US dollars);;;5522;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;5522;
303;76;Brazil;2015;Tourism expenditure (millions of US dollars);;;6254;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;6254;
304;76;Brazil;2016;Tourism expenditure (millions of US dollars);;;6613;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;6613;
305;76;Brazil;2017;Tourism expenditure (millions of US dollars);;;6175;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;6175;
306;92;British Virgin Islands;1995;Tourist/visitor arrivals (thousands);TF;;219;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;219
307;92;British Virgin Islands;2005;Tourist/visitor arrivals (thousands);TF;;337;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;337
308;92;British Virgin Islands;2010;Tourist/visitor arrivals (thousands);TF;;330;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;330
309;92;British Virgin Islands;2015;Tourist/visitor arrivals (thousands);TF;;393;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;393
310;92;British Virgin Islands;2016;Tourist/visitor arrivals (thousands);TF;;408;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;408
311;92;British Virgin Islands;2017;Tourist/visitor arrivals (thousands);TF;;335;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;335
312;92;British Virgin Islands;1995;Tourism expenditure (millions of US dollars);;;211;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;211;
313;92;British Virgin Islands;2005;Tourism expenditure (millions of US dollars);;;412;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;412;
314;92;British Virgin Islands;2010;Tourism expenditure (millions of US dollars);;;389;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;389;
315;92;British Virgin Islands;2015;Tourism expenditure (millions of US dollars);;;484;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;484;
316;96;Brunei Darussalam;2005;Tourist/visitor arrivals (thousands);TF;;126;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;126
317;96;Brunei Darussalam;2010;Tourist/visitor arrivals (thousands);TF;;214;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;214
318;96;Brunei Darussalam;2015;Tourist/visitor arrivals (thousands);TF;;218;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;218
319;96;Brunei Darussalam;2016;Tourist/visitor arrivals (thousands);TF;;219;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;219
320;96;Brunei Darussalam;2017;Tourist/visitor arrivals (thousands);TF;;259;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;259
321;96;Brunei Darussalam;2005;Tourism expenditure (millions of US dollars);;;191;Excluding passenger transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;191;
322;96;Brunei Darussalam;2015;Tourism expenditure (millions of US dollars);;;147;Excluding passenger transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;147;
323;96;Brunei Darussalam;2016;Tourism expenditure (millions of US dollars);;;144;Excluding passenger transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;144;
324;96;Brunei Darussalam;2017;Tourism expenditure (millions of US dollars);;;177;Excluding passenger transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;177;
325;100;Bulgaria;1995;Tourist/visitor arrivals (thousands);TF;;3466;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;3466
326;100;Bulgaria;2005;Tourist/visitor arrivals (thousands);TF;;4837;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;4837
327;100;Bulgaria;2010;Tourist/visitor arrivals (thousands);TF;;6047;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;6047
328;100;Bulgaria;2015;Tourist/visitor arrivals (thousands);TF;;7099;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;7099
329;100;Bulgaria;2016;Tourist/visitor arrivals (thousands);TF;;8252;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;8252
330;100;Bulgaria;2017;Tourist/visitor arrivals (thousands);TF;;8883;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;8883
331;100;Bulgaria;1995;Tourism expenditure (millions of US dollars);;;662;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;662;
332;100;Bulgaria;2005;Tourism expenditure (millions of US dollars);;;3063;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;3063;
333;100;Bulgaria;2010;Tourism expenditure (millions of US dollars);;;3807;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;3807;
334;100;Bulgaria;2015;Tourism expenditure (millions of US dollars);;;3583;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;3583;
335;100;Bulgaria;2016;Tourism expenditure (millions of US dollars);;;4164;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;4164;
336;100;Bulgaria;2017;Tourism expenditure (millions of US dollars);;;4678;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;4678;
337;854;Burkina Faso;1995;Tourist/visitor arrivals (thousands);THS;;124;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;124
338;854;Burkina Faso;2005;Tourist/visitor arrivals (thousands);THS;;245;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;245
339;854;Burkina Faso;2010;Tourist/visitor arrivals (thousands);THS;;274;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;274
340;854;Burkina Faso;2015;Tourist/visitor arrivals (thousands);THS;;163;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;163
341;854;Burkina Faso;2016;Tourist/visitor arrivals (thousands);THS;;152;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;152
342;854;Burkina Faso;2017;Tourist/visitor arrivals (thousands);THS;;143;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;143
343;854;Burkina Faso;2005;Tourism expenditure (millions of US dollars);;;46;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;46;
344;854;Burkina Faso;2010;Tourism expenditure (millions of US dollars);;;105;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;105;
345;854;Burkina Faso;2015;Tourism expenditure (millions of US dollars);;;152;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;152;
346;854;Burkina Faso;2016;Tourism expenditure (millions of US dollars);;;172;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;172;
347;108;Burundi;1995;Tourist/visitor arrivals (thousands);TF;;34;Including nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;34
348;108;Burundi;2005;Tourist/visitor arrivals (thousands);TF;;148;Including nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;148
349;108;Burundi;2010;Tourist/visitor arrivals (thousands);TF;;142;"Break in the time series.;Including nationals residing abroad.";World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;142
350;108;Burundi;2015;Tourist/visitor arrivals (thousands);TF;;131;"Break in the time series.;Including nationals residing abroad.";World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;131
351;108;Burundi;2016;Tourist/visitor arrivals (thousands);TF;;187;"Break in the time series.;Including nationals residing abroad.";World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;187
352;108;Burundi;2017;Tourist/visitor arrivals (thousands);TF;;299;"Break in the time series.;Including nationals residing abroad.";World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;299
353;108;Burundi;1995;Tourism expenditure (millions of US dollars);;;2;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;2;
354;108;Burundi;2005;Tourism expenditure (millions of US dollars);;;2;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;2;
355;108;Burundi;2010;Tourism expenditure (millions of US dollars);;;2;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;2;
356;108;Burundi;2015;Tourism expenditure (millions of US dollars);;;2;Break in the time series.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;2;
357;108;Burundi;2016;Tourism expenditure (millions of US dollars);;;2;Break in the time series.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;2;
358;108;Burundi;2017;Tourism expenditure (millions of US dollars);;;3;Break in the time series.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;3;
359;132;Cabo Verde;1995;Tourist/visitor arrivals (thousands);TF;;28;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;28
360;132;Cabo Verde;2005;Tourist/visitor arrivals (thousands);TF;;198;Non-resident tourists staying in hotels and similar establishments.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;198
361;132;Cabo Verde;2010;Tourist/visitor arrivals (thousands);TF;;336;Non-resident tourists staying in hotels and similar establishments.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;336
362;132;Cabo Verde;2015;Tourist/visitor arrivals (thousands);TF;;520;Non-resident tourists staying in hotels and similar establishments.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;520
363;132;Cabo Verde;2016;Tourist/visitor arrivals (thousands);TF;;598;Non-resident tourists staying in hotels and similar establishments.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;598
364;132;Cabo Verde;2017;Tourist/visitor arrivals (thousands);TF;;668;Non-resident tourists staying in hotels and similar establishments.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;668
365;132;Cabo Verde;1995;Tourism expenditure (millions of US dollars);;;29;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;29;
366;132;Cabo Verde;2005;Tourism expenditure (millions of US dollars);;;177;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;177;
367;132;Cabo Verde;2010;Tourism expenditure (millions of US dollars);;;387;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;387;
368;132;Cabo Verde;2015;Tourism expenditure (millions of US dollars);;;380;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;380;
369;132;Cabo Verde;2016;Tourism expenditure (millions of US dollars);;;401;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;401;
370;132;Cabo Verde;2017;Tourism expenditure (millions of US dollars);;;462;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;462;
371;116;Cambodia;1995;Tourist/visitor arrivals (thousands);TF;;220;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;220
372;116;Cambodia;2005;Tourist/visitor arrivals (thousands);TF;;1422;Arrivals by all means of transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1422
373;116;Cambodia;2010;Tourist/visitor arrivals (thousands);TF;;2508;Arrivals by all means of transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;2508
374;116;Cambodia;2015;Tourist/visitor arrivals (thousands);TF;;4775;Arrivals by all means of transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;4775
375;116;Cambodia;2016;Tourist/visitor arrivals (thousands);TF;;5012;Arrivals by all means of transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;5012
376;116;Cambodia;2017;Tourist/visitor arrivals (thousands);TF;;5602;Arrivals by all means of transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;5602
377;116;Cambodia;1995;Tourism expenditure (millions of US dollars);;;71;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;71;
378;116;Cambodia;2005;Tourism expenditure (millions of US dollars);;;929;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;929;
379;116;Cambodia;2010;Tourism expenditure (millions of US dollars);;;1671;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;1671;
380;116;Cambodia;2015;Tourism expenditure (millions of US dollars);;;3418;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;3418;
381;116;Cambodia;2016;Tourism expenditure (millions of US dollars);;;3523;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;3523;
382;116;Cambodia;2017;Tourism expenditure (millions of US dollars);;;4023;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;4023;
383;120;Cameroon;2010;Tourist/visitor arrivals (thousands);VF;;573;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;573
384;120;Cameroon;2015;Tourist/visitor arrivals (thousands);VF;;897;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;897
385;120;Cameroon;2016;Tourist/visitor arrivals (thousands);VF;;994;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;994
386;120;Cameroon;1995;Tourism expenditure (millions of US dollars);;;75;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;75;
387;120;Cameroon;2005;Tourism expenditure (millions of US dollars);;;229;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;229;
388;120;Cameroon;2010;Tourism expenditure (millions of US dollars);;;171;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;171;
389;120;Cameroon;2015;Tourism expenditure (millions of US dollars);;;476;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;476;
390;120;Cameroon;2016;Tourism expenditure (millions of US dollars);;;508;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;508;
391;120;Cameroon;2017;Tourism expenditure (millions of US dollars);;;543;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;543;
392;124;Canada;1995;Tourist/visitor arrivals (thousands);TF;;16932;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;16932
393;124;Canada;2005;Tourist/visitor arrivals (thousands);TF;;18771;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;18771
394;124;Canada;2010;Tourist/visitor arrivals (thousands);TF;;16219;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;16219
395;124;Canada;2015;Tourist/visitor arrivals (thousands);TF;;17971;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;17971
396;124;Canada;2016;Tourist/visitor arrivals (thousands);TF;;19971;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;19971
397;124;Canada;2017;Tourist/visitor arrivals (thousands);TF;;20798;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;20798
398;124;Canada;1995;Tourism expenditure (millions of US dollars);;;9176;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;9176;
399;124;Canada;2005;Tourism expenditure (millions of US dollars);;;15887;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;15887;
400;124;Canada;2010;Tourism expenditure (millions of US dollars);;;18438;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;18438;
401;124;Canada;2015;Tourism expenditure (millions of US dollars);;;19256;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;19256;
402;136;Cayman Islands;1995;Tourist/visitor arrivals (thousands);TF;;361;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;361
403;136;Cayman Islands;2005;Tourist/visitor arrivals (thousands);TF;;168;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;168
404;136;Cayman Islands;2010;Tourist/visitor arrivals (thousands);TF;;288;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;288
405;136;Cayman Islands;2015;Tourist/visitor arrivals (thousands);TF;;385;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;385
406;136;Cayman Islands;2016;Tourist/visitor arrivals (thousands);TF;;385;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;385
407;136;Cayman Islands;2017;Tourist/visitor arrivals (thousands);TF;;418;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;418
408;136;Cayman Islands;1995;Tourism expenditure (millions of US dollars);;;394;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;394;
409;136;Cayman Islands;2005;Tourism expenditure (millions of US dollars);;;356;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;356;
410;136;Cayman Islands;2010;Tourism expenditure (millions of US dollars);;;465;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;465;
411;136;Cayman Islands;2015;Tourism expenditure (millions of US dollars);;;655;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;655;
412;136;Cayman Islands;2016;Tourism expenditure (millions of US dollars);;;657;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;657;
413;140;Central African Republic;1995;Tourist/visitor arrivals (thousands);TF;;26;Arrivals by air at Bangui only.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;26
414;140;Central African Republic;2005;Tourist/visitor arrivals (thousands);TF;;12;Arrivals by air at Bangui only.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;12
415;140;Central African Republic;2010;Tourist/visitor arrivals (thousands);TF;;54;Arrivals by air at Bangui only.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;54
416;140;Central African Republic;2015;Tourist/visitor arrivals (thousands);TF;;121;Arrivals by air at Bangui only.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;121
417;140;Central African Republic;1995;Tourism expenditure (millions of US dollars);;;4;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;4;
418;140;Central African Republic;2005;Tourism expenditure (millions of US dollars);;;7;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;7;
419;140;Central African Republic;2010;Tourism expenditure (millions of US dollars);;;14;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;14;
420;148;Chad;2010;Tourist/visitor arrivals (thousands);TF;;71;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;71
421;148;Chad;2015;Tourist/visitor arrivals (thousands);TF;;120;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;120
422;148;Chad;2016;Tourist/visitor arrivals (thousands);TF;;98;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;98
423;148;Chad;2017;Tourist/visitor arrivals (thousands);TF;;87;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;87
424;148;Chad;1995;Tourism expenditure (millions of US dollars);;;43;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;43;
425;152;Chile;1995;Tourist/visitor arrivals (thousands);TF;;1540;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1540
