;Region/Country/Area;Tourist/visitor arrivals and tourism expenditure;Year;Series;Tourism arrivals series type;Tourism arrivals series type footnote;Value;Footnotes;Source;valor_expenditure;number_visitor
32;20;Andorra;2005;Tourist/visitor arrivals (thousands);TF;;2418;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;2418
33;20;Andorra;2010;Tourist/visitor arrivals (thousands);TF;;1808;Break in the time series.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1808
34;20;Andorra;2015;Tourist/visitor arrivals (thousands);TF;;2663;Break in the time series.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;2663
35;20;Andorra;2016;Tourist/visitor arrivals (thousands);TF;;2819;Break in the time series.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;2819
36;20;Andorra;2017;Tourist/visitor arrivals (thousands);TF;;3003;Break in the time series.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;3003
37;24;Angola;1995;Tourist/visitor arrivals (thousands);TF;;9;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;9
38;24;Angola;2005;Tourist/visitor arrivals (thousands);TF;;210;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;210
39;24;Angola;2010;Tourist/visitor arrivals (thousands);TF;;425;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;425
40;24;Angola;2015;Tourist/visitor arrivals (thousands);TF;;592;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;592
41;24;Angola;2016;Tourist/visitor arrivals (thousands);TF;;397;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;397
42;24;Angola;2017;Tourist/visitor arrivals (thousands);TF;;261;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;261
43;24;Angola;1995;Tourism expenditure (millions of US dollars);;;27;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;27;
44;24;Angola;2005;Tourism expenditure (millions of US dollars);;;103;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;103;
45;24;Angola;2010;Tourism expenditure (millions of US dollars);;;726;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;726;
46;24;Angola;2015;Tourism expenditure (millions of US dollars);;;1171;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;1171;
47;24;Angola;2016;Tourism expenditure (millions of US dollars);;;628;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;628;
48;24;Angola;2017;Tourism expenditure (millions of US dollars);;;884;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;884;
49;660;Anguilla;1995;Tourist/visitor arrivals (thousands);TF;;39;Excluding nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;39
50;660;Anguilla;2005;Tourist/visitor arrivals (thousands);TF;;62;Excluding nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;62
51;660;Anguilla;2010;Tourist/visitor arrivals (thousands);TF;;62;Excluding nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;62
